   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -3045.82      0.121084E-02  0.201827E-02  0.121084E-02  0.201827E-02   0.00000       0.00000      0.322912E-02  0.121084E-02  0.121096E-02  0.807310E-03   0.00000       0.00000       0.00000    
  0.109648E-03  -2739.31      0.128329E-02  0.213905E-02  0.128329E-02  0.213905E-02   0.00000       0.00000      0.342234E-02  0.128329E-02  0.128343E-02  0.855619E-03   0.00000       0.00000       0.00000    
  0.120226E-03  -2476.53      0.136285E-02  0.227168E-02  0.136285E-02  0.227168E-02   0.00000       0.00000      0.363453E-02  0.136285E-02  0.136301E-02  0.908673E-03   0.00000       0.00000       0.00000    
  0.131825E-03  -2229.34      0.144564E-02  0.240972E-02  0.144564E-02  0.240972E-02   0.00000       0.00000      0.385537E-02  0.144564E-02  0.144583E-02  0.963889E-03   0.00000       0.00000       0.00000    
  0.144543E-03  -2004.47      0.153308E-02  0.255550E-02  0.153308E-02  0.255550E-02   0.00000       0.00000      0.408858E-02  0.153308E-02  0.153330E-02  0.102220E-02   0.00000       0.00000       0.00000    
  0.158489E-03  -1806.13      0.162757E-02  0.271305E-02  0.162757E-02  0.271305E-02   0.00000       0.00000      0.434062E-02  0.162757E-02  0.162783E-02  0.108522E-02   0.00000       0.00000       0.00000    
  0.173779E-03  -1619.93      0.172574E-02  0.287673E-02  0.172574E-02  0.287673E-02   0.00000       0.00000      0.460247E-02  0.172574E-02  0.172604E-02  0.115069E-02   0.00000       0.00000       0.00000    
  0.190545E-03  -1455.65      0.183135E-02  0.305284E-02  0.183135E-02  0.305284E-02   0.00000       0.00000      0.488419E-02  0.183135E-02  0.183170E-02  0.122114E-02   0.00000       0.00000       0.00000    
  0.208928E-03  -1306.28      0.194346E-02  0.323978E-02  0.194346E-02  0.323978E-02   0.00000       0.00000      0.518324E-02  0.194346E-02  0.194387E-02  0.129591E-02   0.00000       0.00000       0.00000    
  0.229085E-03  -1166.54      0.205981E-02  0.343380E-02  0.205981E-02  0.343380E-02   0.00000       0.00000      0.549361E-02  0.205981E-02  0.206028E-02  0.137352E-02   0.00000       0.00000       0.00000    
  0.251186E-03  -1046.95      0.218739E-02  0.364656E-02  0.218739E-02  0.364656E-02   0.00000       0.00000      0.583394E-02  0.218739E-02  0.218794E-02  0.145862E-02   0.00000       0.00000       0.00000    
  0.275420E-03  -934.931      0.232035E-02  0.386832E-02  0.232035E-02  0.386832E-02   0.00000       0.00000      0.618867E-02  0.232035E-02  0.232099E-02  0.154733E-02   0.00000       0.00000       0.00000    
  0.301992E-03  -833.072      0.246056E-02  0.410217E-02  0.246056E-02  0.410217E-02   0.00000       0.00000      0.656274E-02  0.246056E-02  0.246130E-02  0.164087E-02   0.00000       0.00000       0.00000    
  0.331127E-03  -743.825      0.261230E-02  0.435527E-02  0.261230E-02  0.435527E-02   0.00000       0.00000      0.696757E-02  0.261230E-02  0.261316E-02  0.174211E-02   0.00000       0.00000       0.00000    
  0.363073E-03  -660.202      0.276995E-02  0.461826E-02  0.276995E-02  0.461826E-02   0.00000       0.00000      0.738821E-02  0.276995E-02  0.277096E-02  0.184730E-02   0.00000       0.00000       0.00000    
  0.398101E-03  -586.578      0.293932E-02  0.490081E-02  0.293932E-02  0.490081E-02   0.00000       0.00000      0.784012E-02  0.293932E-02  0.294048E-02  0.196032E-02   0.00000       0.00000       0.00000    
  0.436509E-03  -520.056      0.311935E-02  0.520118E-02  0.311935E-02  0.520118E-02   0.00000       0.00000      0.832053E-02  0.311935E-02  0.312071E-02  0.208047E-02   0.00000       0.00000       0.00000    
  0.478622E-03  -457.972      0.330620E-02  0.551296E-02  0.330620E-02  0.551296E-02   0.00000       0.00000      0.881917E-02  0.330620E-02  0.330778E-02  0.220519E-02   0.00000       0.00000       0.00000    
  0.524798E-03  -405.080      0.351078E-02  0.585437E-02  0.351078E-02  0.585437E-02   0.00000       0.00000      0.936515E-02  0.351078E-02  0.351262E-02  0.234175E-02   0.00000       0.00000       0.00000    
  0.575429E-03  -355.805      0.372431E-02  0.621076E-02  0.372431E-02  0.621076E-02   0.00000       0.00000      0.993507E-02  0.372431E-02  0.372646E-02  0.248430E-02   0.00000       0.00000       0.00000    
  0.630945E-03  -311.095      0.394915E-02  0.658606E-02  0.394915E-02  0.658606E-02   0.00000       0.00000      0.105352E-01  0.394915E-02  0.395164E-02  0.263442E-02   0.00000       0.00000       0.00000    
  0.691816E-03  -272.299      0.419281E-02  0.699286E-02  0.419281E-02  0.699286E-02   0.00000       0.00000      0.111857E-01  0.419281E-02  0.419572E-02  0.279714E-02   0.00000       0.00000       0.00000    
  0.758561E-03  -236.070      0.444600E-02  0.741561E-02  0.444600E-02  0.741561E-02   0.00000       0.00000      0.118616E-01  0.444600E-02  0.444937E-02  0.296624E-02   0.00000       0.00000       0.00000    
  0.831745E-03  -204.335      0.471759E-02  0.786918E-02  0.471759E-02  0.786918E-02   0.00000       0.00000      0.125868E-01  0.471759E-02  0.472151E-02  0.314767E-02   0.00000       0.00000       0.00000    
  0.911989E-03  -175.923      0.500669E-02  0.835210E-02  0.500669E-02  0.835210E-02   0.00000       0.00000      0.133588E-01  0.500669E-02  0.501126E-02  0.334084E-02   0.00000       0.00000       0.00000    
  0.999975E-03  -149.526      0.530678E-02  0.885345E-02  0.530678E-02  0.885345E-02   0.00000       0.00000      0.141602E-01  0.530678E-02  0.531207E-02  0.354138E-02   0.00000       0.00000       0.00000    
  0.109645E-02  -127.244      0.563484E-02  0.940170E-02  0.563484E-02  0.940170E-02   0.00000       0.00000      0.150365E-01  0.563484E-02  0.564102E-02  0.376068E-02   0.00000       0.00000       0.00000    
  0.120223E-02  -106.657      0.597775E-02  0.997491E-02  0.597775E-02  0.997491E-02   0.00000       0.00000      0.159527E-01  0.597775E-02  0.598495E-02  0.398996E-02   0.00000       0.00000       0.00000    
  0.131822E-02  -88.0801      0.633830E-02  0.105777E-01  0.633830E-02  0.105777E-01   0.00000       0.00000      0.169160E-01  0.633830E-02  0.634664E-02  0.423109E-02   0.00000       0.00000       0.00000    
  0.144540E-02  -72.2152      0.672958E-02  0.112322E-01  0.672958E-02  0.112322E-01   0.00000       0.00000      0.179618E-01  0.672958E-02  0.673932E-02  0.449288E-02   0.00000       0.00000       0.00000    
  0.158485E-02  -57.4959      0.713618E-02  0.119125E-01  0.713618E-02  0.119125E-01   0.00000       0.00000      0.190487E-01  0.713618E-02  0.714749E-02  0.476499E-02   0.00000       0.00000       0.00000    
  0.173775E-02  -44.7483      0.757169E-02  0.126414E-01  0.757169E-02  0.126414E-01   0.00000       0.00000      0.202131E-01  0.757169E-02  0.758485E-02  0.505657E-02   0.00000       0.00000       0.00000    
  0.190540E-02  -33.5146      0.803596E-02  0.134188E-01  0.803596E-02  0.134188E-01   0.00000       0.00000      0.214548E-01  0.803596E-02  0.805131E-02  0.536754E-02   0.00000       0.00000       0.00000    
  0.208923E-02  -23.1719      0.851791E-02  0.142261E-01  0.851791E-02  0.142261E-01   0.00000       0.00000      0.227440E-01  0.851791E-02  0.853566E-02  0.569044E-02   0.00000       0.00000       0.00000    
  0.229079E-02  -14.6180      0.904397E-02  0.151079E-01  0.904397E-02  0.151079E-01   0.00000       0.00000      0.241518E-01  0.904397E-02  0.906473E-02  0.604315E-02   0.00000       0.00000       0.00000    
  0.251180E-02  -6.83223      0.959466E-02  0.160314E-01  0.959466E-02  0.160314E-01   0.00000       0.00000      0.256260E-01  0.959466E-02  0.961881E-02  0.641254E-02   0.00000       0.00000       0.00000    
  0.275413E-02  0.968543E-01  0.101728E-01  0.170013E-01  0.101728E-01  0.170013E-01   0.00000       0.00000      0.271742E-01  0.101728E-01  0.102008E-01  0.680054E-02   0.00000       0.00000       0.00000    
  0.301984E-02   5.82599      0.108011E-01  0.180565E-01  0.108011E-01  0.180565E-01   0.00000       0.00000      0.288576E-01  0.108011E-01  0.108339E-01  0.722258E-02   0.00000       0.00000       0.00000    
  0.331118E-02   11.0636      0.114541E-01  0.191535E-01  0.114541E-01  0.191535E-01   0.00000       0.00000      0.306077E-01  0.114541E-01  0.114921E-01  0.766141E-02   0.00000       0.00000       0.00000    
  0.363064E-02   15.4702      0.121525E-01  0.203278E-01  0.121525E-01  0.203278E-01   0.00000       0.00000      0.324803E-01  0.121525E-01  0.121967E-01  0.813113E-02   0.00000       0.00000       0.00000    
  0.398091E-02   19.2176      0.128981E-01  0.215827E-01  0.128981E-01  0.215827E-01   0.00000       0.00000      0.344808E-01  0.128981E-01  0.129496E-01  0.863309E-02   0.00000       0.00000       0.00000    
  0.436498E-02   22.5889      0.136721E-01  0.228862E-01  0.136721E-01  0.228862E-01   0.00000       0.00000      0.365583E-01  0.136721E-01  0.137317E-01  0.915450E-02   0.00000       0.00000       0.00000    
  0.478610E-02   25.2207      0.145156E-01  0.243090E-01  0.145156E-01  0.243090E-01   0.00000       0.00000      0.388247E-01  0.145156E-01  0.145854E-01  0.972361E-02   0.00000       0.00000       0.00000    
  0.524785E-02   27.5240      0.154000E-01  0.258020E-01  0.154000E-01  0.258020E-01   0.00000       0.00000      0.412020E-01  0.154000E-01  0.154812E-01  0.103208E-01   0.00000       0.00000       0.00000    
