   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -.692792      0.662802E-01  0.132563      0.662802E-01  0.132563       0.00000       0.00000      0.198843      0.662802E-01  0.662814E-01  0.662815E-01   0.00000       0.00000       0.00000    
  0.109648E-03  -.795075      0.674068E-01  0.134816      0.674068E-01  0.134816       0.00000       0.00000      0.202223      0.674068E-01  0.674082E-01  0.674082E-01   0.00000       0.00000       0.00000    
  0.120226E-03  -.900321      0.685468E-01  0.137097      0.685468E-01  0.137097       0.00000       0.00000      0.205644      0.685468E-01  0.685484E-01  0.685484E-01   0.00000       0.00000       0.00000    
  0.131825E-03  -1.00681      0.696921E-01  0.139388      0.696921E-01  0.139388       0.00000       0.00000      0.209080      0.696921E-01  0.696938E-01  0.696938E-01   0.00000       0.00000       0.00000    
  0.144543E-03  -1.11509      0.708448E-01  0.141693      0.708448E-01  0.141693       0.00000       0.00000      0.212538      0.708448E-01  0.708467E-01  0.708467E-01   0.00000       0.00000       0.00000    
  0.158489E-03  -1.22585      0.720072E-01  0.144018      0.720072E-01  0.144018       0.00000       0.00000      0.216026      0.720072E-01  0.720092E-01  0.720092E-01   0.00000       0.00000       0.00000    
  0.173779E-03  -1.33786      0.731740E-01  0.146353      0.731740E-01  0.146353       0.00000       0.00000      0.219527      0.731740E-01  0.731763E-01  0.731763E-01   0.00000       0.00000       0.00000    
  0.190545E-03  -1.45230      0.743493E-01  0.148703      0.743493E-01  0.148703       0.00000       0.00000      0.223053      0.743493E-01  0.743517E-01  0.743517E-01   0.00000       0.00000       0.00000    
  0.208928E-03  -1.56869      0.755304E-01  0.151066      0.755304E-01  0.151066       0.00000       0.00000      0.226597      0.755304E-01  0.755331E-01  0.755331E-01   0.00000       0.00000       0.00000    
  0.229085E-03  -1.68633      0.767152E-01  0.153436      0.767152E-01  0.153436       0.00000       0.00000      0.230152      0.767152E-01  0.767182E-01  0.767182E-01   0.00000       0.00000       0.00000    
